ребенкупомочь|['семья']
нарушить|['слух', 'ребёнок']
родить|['здоровье', 'участие', 'функция', 'вновь', 'дон', 'молодёжь', 'слово', 'попечение', 'вдохновение']
затопить|['лицо', 'святыня', 'деревня']
подрастать|['самосознание', 'экоурок', 'вовлечение', 'деятельность', 'язык', 'профориентация', 'изучение', 'поведение', 'воспитание', 'поколение']
реализоваться|['инициатива']
proсесть|['игра']
брать|['пример', 'серия', 'проект', 'начало', 'домой', 'мяч', 'ресурс']
заключить|['участие', 'цель', 'обучение', 'футбол', 'че', 'адаптация', 'спорт', 'ресоциализация', 'реабилитация', 'реализация', 'право', 'помощь', 'реинтеграция', 'трезвость']
готовить|['патриот', 'проект', 'вместе']
уметь|['клуб', 'мочь', 'проект', 'сложно']
научить|['подготовка', 'коленька', 'сверстник', 'компетенция', 'ельчанин', 'бабушка']
выйти|['путь', 'пенсия', 'человек', 'вместе']
стомировать|['жизнь', 'человек']
ковать|['тыл', 'вместе', 'воля', 'победа']
изучать|['проуспех']
возводить|['мост']
ыллыгынать|['тээкэ']
айандлить|['детейинвалид']
стереть|['год']
развиваться|['ребёнок', 'профессионал', 'поколение', 'онлайн', 'передышка', 'вместе']
вспомнить|['армения', 'память', 'девиз', 'сегодня', 'горе']
меняться|['потребитель', 'город', 'роль', 'условие', 'адаптация', 'личность', 'стремительно', 'инвалидность', 'оценка', 'сотрудничество', 'мир']
страдать|['ребёнок', 'глаукома', 'гражданин', 'диабет', 'женщина', 'человек', 'пациент', 'лицо']
охранять|['родина', 'природа', 'особо']
монашествовать|['духовенство']
осуществлять|['деятельность', 'область', 'подготовка', 'человек']
решать|['бфмша', 'семья', 'секунда', 'чемпионат', 'урфо', 'вместе']
погибнуть|['год', 'корабль', 'вдова', 'беларусь', 'участник', 'память', 'пропасть', 'информация', 'голос', 'воин', 'военнослужащий', 'семья']
завести|['друг']
нести|['добро', 'ответственность', 'друг', 'экоребёнок']
доверить|['программа', 'память']
собираться|['дорога', 'здоровье', 'хоровод', 'народ']
уйти|['деревня', 'слава', 'память']
посмотреть|['буктрейлер']
являться|['оператор', 'продолжение', 'проект', 'тиражирование', 'отработка']
делайпродавать|['хендмейдстартап']
казаться|['регион']
идти|['год', 'рядом', 'речь', 'поход', 'победа', 'вперёд', 'время', 'проект', 'душа', 'солнце', 'практика', 'фильм', 'легко', 'человек', 'туризм', 'уверенно', 'весна']
служить|['проект', 'вера', 'желание', 'дон', 'народ', 'армия', 'отечество', 'россия']
пошуметь|['буряадаараа']
согреть|['луч', 'поддержка']
любить|['родина', 'конкурс', 'лес', 'гостиная', 'тебяжизнь', 'жкх', 'край', 'человек', 'жизнь']
закрыть|['пограничник', 'сталинград']
ориентировать|['дебют', 'кластер', 'молодёжь', 'работа', 'семейно', 'социально']
тонуть|['человек']
дьгть|['клуб']
расправлять|['крыло', 'камчатка']
сдавать|['вторсырьё']
приходить|['марафон', 'музей', 'полиатлоно', 'мир', 'гость']
оказывать|['психологовволонтер', 'семья', 'поддержка', 'организация', 'помощь', 'специалист', 'услуга']
дать|['крыло', 'наследство', 'победа', 'бог', 'земля', 'война', 'воспитание', 'книга', 'артик', 'премия', 'старт', 'шанс', 'рука']
просвещать|['компетенция']
передвигаться|['девушка', 'женщина', 'число', 'коляска']
разрушить|['храм', 'хиппи']
прорваться|['киноэстафета']
выбраться|['улица']
оставаться|['память', 'строй', 'человек']
читать|['ребёнок', 'победа', 'время', 'дневник', 'пространство', 'знание', 'книга', 'легко', 'собака', 'село', 'папа', 'мама']
звать|['небо', 'память', 'друг', 'поиск', 'сердце', 'лыжня', 'труба']
дойти|['сюда', 'лыжа']
встать|['нога']
понимать|['пациент', 'счастие', 'друг', 'россия']
сберечь|['семья', 'время', 'природа', 'содействие', 'россия']
организовать|['рядом', 'средство', 'волонтерство']
вести|['рука', 'здоровье', 'родственник', 'организация', 'дед', 'афган', 'информация', 'ручей', 'слава', 'пропасть']
учить|['школьник', 'шахматы', 'дошкольник', 'сказка', 'театр']
постичь|['игра', 'жизнь']
осмыслить|['жизнь', 'путь', 'общение']
вставать|['деревня', 'лыжа']
посещать|['возраст', 'ребёнок', 'дошкольник']
вырасти|['корабль', 'поле', 'лодка', 'писатель', 'россия']
сдаваться|['заболевание', 'батарейка', 'предотвращение', 'онко']
остановить|['поиск', 'восток', 'блицкриг', 'огонь', 'туберкулёз', 'ворона']
языкдушить|['народ']
распахнуть|['окно', 'дверь']
ценить|['ребёнок', 'помощь', 'подросток']
услышать|['подросток', 'глаз', 'проект', 'друг', 'голос']
читайболтать|['литература', 'марафон']
подковать|['каникулы', 'родитель', 'доктор']
предать|['сердце']
прочитать|['чтение']
востребовать|['профессия', 'производство', 'развитие', 'специальность', 'получение']
телесноориентировать|['коррекция']
взять|['ребёнок', 'здоровье', 'акция']
дышать|['счастие', 'здоровье', 'риск', 'свободно']
потеряться|['пропасть', 'пациент', 'работа', 'поиск']
ходить|['гора', 'буква', 'конь', 'вместе']
актереть|['долина']
незлечить|['поддержка']
proдеть|['подросток']
очистить|['прогулка']
бояться|['вода', 'рак', 'кот', 'проект', 'мастер', 'содействие', 'юноша']
бежать|['вместе', 'забег', 'сердце']
шить|['добро']
дополнить|['артобъект', 'arстенд', 'использование', 'технология', 'реальность']
цвести|['продолжение', 'время']
оживать|['страница', 'саратов']
чувствовать|['только']
болеть|['ребёнок', 'часто', 'диабет']
растить|['давность', 'гражданин', 'патриот']
адаптировать|['типография', 'спектакль', 'абсент', 'человек', 'использование']
расширить|['ребёнок']
деть|['культура', 'семья', 'женщина']
специализировать|['площадка', 'программа', 'служба', 'смена']
разводиться|['ребёнок']
обжигать|['горшок']
петь|['поэзия', 'ребёнок', 'охота', 'письмена', 'ещё', 'стрела', 'плот', 'хор', 'душа']
выздоравливать|['алко', 'жизнь', 'проект']
молчать|['мастеркласс']
познавать|['уфа', 'проект', 'прошлое', 'мир']
формировать|['дело', 'детство', 'квест', 'прошлое', 'осанка', 'слава', 'будущее']
бегать|['родитель']
калечить|['природа']
сохраниться|['чудом', 'мастерская']
заняться|['спорт']
пригласить|['сосед', 'спорт']
театрализовать|['фотопроект', 'встреча', 'взрослый', 'россия', 'серия', 'деятельность']
возрождать|['верхневолжье', 'музей', 'традиция', 'потомок', 'связь', 'история', 'парламентёр']
реализовать|['дипломатия', 'наставник', 'консультант', 'наставничество', 'деятельность', 'рамк', 'ключ', 'общество', 'услуга', 'москва', 'педагог', 'программа', 'организация', 'проект']
рисковать|['напрасно', 'опасно']
тренироваться|['пример', 'жизнь', 'дом', 'вместе']
становиться|['победитель', 'виртуоз', 'профессионал', 'будущее']
раскрыться|['мир', 'вместе']
замерзать|['помощь']
началоначать|['лига']
путешествовать|['день', 'вместе']
желать|['класс', 'ребёнок', 'здравие', 'мир', 'развитие']
вдохновлять|['бабушка', 'проект', 'история']
proшить|['мастерская']
завершить|['успешно']
обретать|['вода', 'помощь', 'свобода']
воевать|['песня']
предотвратить|['сиротство']
покорять|['вершина']
многодарить|['помощь']
получать|['знание', 'ребёнок', 'одновременно']
смотреть|['режиссёр', 'эйзенштейн', 'диалог', 'молодёжь', 'будущее']
познать|['бадминтон', 'здоровье', 'мир', 'центр', 'россия']
укрепить|['здоровье', 'дружба', 'цель']
заболеть|['осознанно', 'небо']
вызвать|['влияние', 'кризис', 'период', 'эпидемия']
сидеть|['создание', 'дело']
летать|['мочь', 'каникулы', 'социализация', 'нарушение']
увидеть|['проблема', 'мир', 'человек', 'глаз']
посвящаться|['будущее', 'живопись', 'удмуртия', 'время', 'катастрофа', 'юбилей', 'война', 'лазагоскин', 'трагедия', 'маяк', 'победа', 'летие']
незевать|['станция']
социальноориентировать|['ветеринария', 'сми', 'журналист', 'бизнеспроект', 'столовая', 'потенциал', 'добровольчество']
прекратить|['копейск', 'человек', 'употребление', 'приём']
казачествасоздавать|['наследие', 'патриот']
поехать|['артдесант', 'проект']
успеть|['губерния']
полюбить|['вологда', 'жизнь', 'детейсирота']
подрасти|['ребёнок']
голубеть|['порода']
считать|['правильно']
устать|['помощь', 'поддержка', 'мама']
обращаться|['помощь', 'природа']
вернуть|['отчизна', 'хоккей', 'будущее', 'проект', 'проживание', 'солдат', 'кедр', 'герой']
дьондьоллоохнуть|['доруобай']
питать|['дело', 'душа']
ухаживать|['сиделка', 'волонтёр']
верить|['мама']
подняться|['небо']
рассказывать|['передача', 'подвиг', 'организация', 'будущее', 'практика']
ехать|['сани', 'сирота', 'сказка', 'гость', 'бабушка', 'спасатель']
листать|['страница']
интегрировать|['лагерь', 'группа', 'услуга', 'служба', 'студия', 'система']
чтить|['память', 'герой']
выходить|['врач', 'онлайн', 'берег', 'пандемия']
снять|['жизнь', 'родина', 'участник', 'час', 'конкурс']
продвигать|['развитие']
досуговоразвивать|['центр']
способствовать|['сообщество', 'сохранение', 'организация', 'внедрение', 'дестинация', 'объединение']
выбросить|['кошка']
ловить|['эмоция']
игрофицировать|['город']
пациенториентировать|['здравоохранение']
спросить|['бабушка', 'мюзикл']
запомнить|['навсегда', 'история']
род|['детство', 'сила', 'музей', 'война', 'деревня', 'фильм', 'чемодан', 'подросток', 'сибирь']
украсть|['детство']
изучить|['болезнь']
вылечить|['болезнь']
цивилизовать|['спор', 'способ', 'общество', 'шаг', 'миграция']
заботиться|['семья', 'животныхня']
изменять|['будущее', 'проектирование']
проектировать|['жизнь', 'будущее']
телеобучать|['платформа']
выпускнуть|['навык']
унывать|['никогда']
предоставить|['возможность']
позволять|['программа', 'эффективно']
держаться|['рюкзак', 'пропасть']
боксмыть|['проект', 'спорт']
слушать|['квартирник', 'сердце']
забывать|['человек', 'будущее', 'прошлое', 'культура', 'животныхня']
терять|['надежда']
эвакуировать|['интернат', 'судьба', 'житель', 'инвалидность']
плыть|['море', 'система']
коваться|['тыл', 'победа']
взай|['технология']
снимать|['ребёнок', 'кино']
сочинять|['музыка']
доказать|['метод', 'лабораториум', 'культура', 'занятие', 'научно', 'практика', 'эффективность']
поднять|['парус', 'перископ', 'раз']
кюккть|['дошкольник']
воротиться|['фестиваль']
пристраивать|['цикл']
потрясать|['писатель', 'душа']
удовлетворять|['работа', 'потребность']
воспитать|['друг']
воспасть|['профилактика']
селиться|['казак']
озябнуть|['тайбола']
эвтерп|['гость', 'аристотель']
винить|['проект', 'темнота']
эрьзить|['наследник']
загрузить|['здоровье', 'проект']
стартовать|['стартумигра']
проделать|['анализ', 'работа']
захватить|['террорист', 'человек']
выучить|['школа']
цветить|['душа', 'село']
заведовать|['школаучилище']
проводиться|['рамка']
приближать|['помощь']
познавательнообучать|['занятие', 'позитив']
поступать|['закон', 'отделение']
проводить|['г', 'зрение', 'совместно', 'честь']
вичинфицировать|['пациент', 'волгоград', 'ребёнок', 'мать', 'наркопотребитель', 'помощь', 'реабилитация']
звучать|['цвет', 'гусли', 'волонтёр', 'строитель', 'гордо']
кататься|['здоровье']
освобождаться|['место']
возродить|['база']
значиться|['книга', 'список']
опалить|['детство', 'крыло', 'песня', 'сталинград', 'юность', 'строка', 'война']
ставить|['цель']
подозревать|['право']
присоединяться|['семья']
исцелять|['человечность', 'мелодия', 'встреча']
сберегать|['фотовоспоминание']
найти|['старость', 'подготовка', 'ребёнок', 'поддержка', 'путь', 'центр', 'семья']
шагнуть|['бессмертие']
погружаться|['создание', 'вода']
исполнить|['должное']
экопривыкать|['проект', 'акция']
закалить|['судьба']
доверять|['снова', 'мир']
элистаневыдумать|['история']
сказать|['песня', 'жизнь', 'фальсификат']
рулить|['спорт']
терпеть|['пустота', 'природа']
пациентоориентировать|['платформа']
вакыть|['эпоха']
рцсить|['инициатива']
зарядить|['журналистика']
населить|['отход', 'пункт']
импровизировать|['вместе']
продвинуть|['инфошоп', 'горожанин']
опосредовать|['родитель']
соткать|['пояс', 'судьба']
привязать|['судьба']
профориентировать|['дистанция', 'студия']
убить|['царь']
тянуться|['сердце']
разведать|['дорожка', 'там']
протить|['нацист']
иворчать|['вуоно']
позаботиться|['мама']
переписать|['победа']
избежать|['смерть', 'свободацентр']
забыть|['никогда', 'герой', 'война', 'сердце', 'подвиг']
стремиться|['вершина', 'область', 'получение', 'мама']
луговать|['инкубатор', 'земля']
практикоориентировать|['метод', 'мероприятие', 'обучение', 'роль', 'комплекс']
случиться|['животное']
прилепить|['лепка']
школьнуть|['фильм']
благодарить|['добровольчество', 'победа', 'проект', 'село']
провести|['творчество', 'досуг', 'реабилитация']
подружить|['сеть']
тиражировать|['создание']
сокращать|['расстояние']
превратить|['мечта']
потерять|['семья', 'мать', 'будущее', 'прошлое', 'кормилец', 'заболевание', 'ребёнок']
исчерпать|['конфликт']
познакомиться|['бобёр', 'приятно']
владеть|['детейинвалид', 'специфика', 'мероприятие']
неслышать|['зритель', 'ребёнок', 'искусство', 'аквареабилитация']
раскрывать|['талант']
условить|['помощь', 'военнослужащий']
губить|['центр', 'тур']
рысить|['котятсирота']
развить|['здоровье', 'рекомендация']
разработать|['ранее', 'зона']
содействовать|['омск']
отгреметь|['война', 'герой']
улыбнуться|['мастерская', 'мир']
оказать|['структурирование']
хандрить|['время']
начать|['помощь', 'здоровье', 'движение', 'нуль']
основать|['здоровье', 'метод', 'модель', 'раса', 'ребёнок', 'согласие']
межнацлабнуть|['отношение']
обнимать|['небо']
поклониться|['женщинамвоина', 'программа']
родиться|['где', 'право']
преподавать|['вуз']
мужать|['мальчишка', 'строй']
стерилизовать|['программа']
расправить|['риск', 'крыло']
продаваться|['книга']
двигаться|['джина', 'вперёд']
зазвонить|['опять']
признать|['государство']
покормить|['доброта', 'птица']
научнодоказать|['подход', 'использование']
постигать|['технология', 'россия']
вылетать|['интеграция', 'птичка']
инсулинозависить|['детейинвалид']
прикоснуться|['песня', 'облако', 'подвиг', 'история']
осознать|['цена', 'история', 'дом']
лететь|['здоровье', 'улус', 'стрела']
содействиедеть|['заболевание']
социальноуязвить|['семья', 'категория', 'питомец', 'женщина', 'помощь']
технолабнуть|['творчество']
славить|['герой', 'человек']
забрать|['проект', 'домой']
добыть|['победа', 'единство']
туруй|['тогус', 'уолаттара']
внедрять|['инновация', 'ингушетия']
мечтать|['театр', 'проект', 'граница', 'сарград']
испытывать|['ребёнок', 'ситуация', 'трудность']
поговорить|['клуб', 'откровенно']
включать|['комплекс', 'школа', 'тьютор', 'режим']
распространить|['занос']
реальнообучаться|['виртуально']
стационарозамещать|['самостоятельность', 'модель', 'проживание', 'инвалидность', 'развитие', 'технология']
застать|['дом']
входить|['проект', 'дом', 'сказка']
взяться|['жизнь', 'рука']
удивляться|['мама']
пандеметь|['период']
пожертвовать|['передача', 'население', 'вещь']
обгонять|['время']
включаться|['возможность', 'телевидение']
препятствовать|['барьер']
натворить|['ремесло', 'вместе']
составлять|['ребёнок', 'подготовка', 'образование']
расстраиваться|['вместе']
воспринимать|['возраст']
столкнуться|['год', 'семья', 'ситуация', 'проблематика', 'женщина', 'родитель', 'потеря', 'заболевание']
обратиться|['помощь', 'семья', 'впервые']
переживать|['последствие', 'остро', 'ситуация']
инфицировать|['вич', 'число']
реконструировать|['частично']
затронуть|['пандемия', 'человек', 'вич', 'вичинфекция']
оскудеть|['рука']
раздавать|['рука']
перетереть|['зависимость']
отступить|['оказание', 'угроза']
ослабить|['ребёнок', 'витамин']
границнуть|['мастерская']
ожидать|['трансплантация', 'человек']
соединять|['память', 'пространство']
подключаться|['пора']
восстанавливать|['курс', 'совершенство']
прокачать|['школа', 'пермь', 'параспартакиада']
зарабатывать|['проект']
здоровьесберегать|['досуг', 'ситуация', 'технология']
оплачивать|['интернетпрофессиямсодействие']
зожигать|['формат']
почувствовать|['сила', 'победа', 'история']
согревать|['сердце']
бороться|['последствие']
поделиться|['улыбка', 'увлечение', 'зуб']
доставить|['продукт', 'вирус']
прийти|['помощь']
росся|['регион']
скучать|['создание', 'сагын']
зажечь|['возраст', 'нота', 'костёр', 'звезда']
интеллектуальноразвивать|['проект']
прилегать|['парк', 'истора']
использовать|['метод', 'батарейка', 'утилизация', 'детейинвалид', 'воздействие']
сесть|['столица', 'театр', 'лаборатория', 'город']
тервать|['полуостров']
башкорстостать|['республика']
обязать|['потомок']
сложнокоординировать|['вид', 'реабилитация']
стандартизировать|['модель', 'модификация']
субкомпенисровать|['пациент', 'умеренно']
декомпенсь|['умеренно']
лечиться|['условие', 'рак']
насладиться|['пингвин']
оставить|['мёртвый', 'беда', 'душа', 'сердце', 'след']
чигчить|['малыш', 'шашаа']
травить|['школа']
семейноориентировать|['сопровождение']
коррекционнообучать|['программа']
вдохновить|['тропа', 'человек']
содействить|['налогообложение']
затонуть|['туойхай', 'погружение']
гаджетоинтернуть|['реабилитация']
озвучить|['создание', 'слайд']
совместить|['раса']
состоять|['проект']
встречаться|['где', 'школьник']
крутить|['планета']
соревноваться|['спорт']
пахнуть|['трава', 'страница', 'горечь', 'порох']
телелопатить|['проект', 'поудмуртски']
человекомиметь|['сострадание']
миндить|['вперёд']
будущемсохранить|['байкал']
живииграйпобеждать|['игра']
подготовиться|['спорт']
специализироваться|['учёный']
нальчикмахачкать|['добро']
продлить|['жизнь']
перейти|['родитель']
позабыть|['фотовыставка', 'прошлое']
понять|['ребёнок', 'победа', 'природа']
дергунчить|['игрушка']
интересоваться|['подросток']
повторять|['вместе']
предупредить|['паразит']
заслужить|['приз', 'тренер']
узнать|['мир', 'программа', 'россия']
монтессорить|['м', 'ребёнок', 'комната', 'база', 'система']
остать|['подросток']
переставать|['возможностейн']
убираться|['где', 'экотуризм', 'там']
высокомотивировать|['ребёнок']
дерзать|['детвора']
сэкономить|['жкх']
добромультить|['мультстудия']
лаучить|['интенсив']
биться|['вечно', 'сердце']
сплотить|['дело']
почтить|['память']
убрать|['могила', 'ветеран']
показывать|['поколение', 'название']
сопрячь|['сфера']
сражаться|['победа', 'вместе']
обратить|['наследие', 'внимание']
завещать|['мир']
оставлять|['книга']
ограничить|['возможность', 'музыка']
ампить|['движ']
proкачать|['эколайф', 'оренбуржье']
представлять|['блогер', 'комплекс']
cмотереть|['мир']
народать|['рука', 'будущее']
изменить|['человек']
передать|['рука', 'память', 'добро', 'внук']
курить|['берлин']
гепатитунуть|['линия']
приобрести|['инвалидность', 'ранее']
дочкиматерить|['взрослый']
толстойлабнуть|['лаборатория']
оккупировать|['территория', 'население']
приумножить|['сила']
угаснуть|['сердце']
булгать|['йолдызлар', 'нур']
зажигать|['сэлэта', 'цирк', 'огонь']
процветать|['россия']
рождаться|['будущее', 'где', 'сегодня', 'дом', 'талант']
делить|['спорт']
октябнуть|['москва']
сближать|['народ', 'театр']
оборудовать|['машина', 'специально']
россияомать|['дружба']
титэбить|['село']
принести|['смех']
сочетать|['нара']
призвать|['бой']
крепить|['служба']
sosтояться|['поддержка', 'вместе']
исчезать|['сайгак', 'след', 'объект', 'дельфин', 'помощь', 'субтитр']
хватать|['браконьерство', 'зло']
пролить|['бельгиец']
приурочить|['празднование', 'победа', 'проект', 'герой', 'россия', 'летие']
разветвить|['создание', 'инфраструктура']
байкалморить|['дзюдо']
помнимгордимсянаследовать|['слава']
подать|['рука']
популяризировать|['знание', 'подросток']
добавить|['краска']
сокращенить|['семья']
игральнуть|['изба']
распять|['детство']
достаться|['детство', 'память']
сопутствовать|['создание']
выдавать|['уроженец', 'канонизация']
объединить|['бой']
говорушить|['центр']
обойтись|['мир']
станцевать|['любовь']
устранять|['преграда']
похоронить|['пруссия']
касаться|['астрономия', 'звезда']
прыгнуть|['выше']
восславить|['победа', 'студия']
зваться|['гордо']
заплыть|['кама', 'вода']
опьянить|['свобода']
разоблачить|['игра', 'мошенник']
покрыть|['лёд', 'объект']
самобалансировать|['использование']
запевала|['песня']
городовпобратим|['сотрудничество', 'турнир']
социальнообучать|['проект']
планировать|['беременность']
хепоярвать|['озеро']
увести|['цель']
поймать|['спорт']
воспитынуть|['семья']
сваргаслабнуть|['практика']
моделировать|['будущее']
воспитываться|['возраст', 'инвалид', 'животное']
пленить|['лагерь']
расположить|['семья']
батарейкуспасти|['ёжик']
изобретать|['рационализатор']
детидеть|['лидер']
дезадаптировать|['подросток', 'социально']
фить|['священномученик']
связывать|['поколение', 'коллектив']
анкилозировать|['бехтерев', 'спондилит']
уважать|['жизнь']
объединяйдействуйразвивать|['актив']
вырастать|['крыло']
обустроить|['место']
филбить|['ким']
храниться|['военкомат', 'похоронка']
состояться|['год', 'сопровождение', 'профессионал']
направлять|['взаимодействие']
надеяться|['программа']
закладывать|['основа']
преодолевать|['семья', 'граница', 'зависимость']
нибыть|['трава']
длиться|['день', 'век']
здоровьясить|['возможность', 'ребёнок']
влюбить|['г', 'романс', 'россия']
оживлять|['пространство']
убирать|['барьер', 'пространство']
настроить|['жизнь']
пишичитать|['язык', 'дошкольник']
гранпереть|['искусство', 'рамка']
отправляться|['здоровье']
окрылять|['сидя']
утилизировать|['правильно', 'мусор']
подготовить|['доброволец', 'помощь', 'самооборона']
зависеть|['здоровье']
обновлять|['ежедневно']
прирастать|['антарктика']
стареть|['некогда']
повысить|['технология']
дюсить|['дистрофия', 'проблема']
здравоохранить|['учреждение']
кушать|['здоровье']
благопожелать|['песня']
исцелить|['театр']
раздвигать|['искусство', 'границысреди']
заключаться|['создание', 'проект']
позволить|['постановка']
непереиздать|['история']
влиять|['результат']
существовать|['время']
эныть|['н', 'мастер']
содержаться|['испра', 'человек']
совершенствутеть|['дух', 'путь']
пробовать|['область']
детерминировать|['фактор', 'принятие']
собраться|['лес']
приоткрывать|['миграция']
панкратионвозрождать|['традиция']
несовершить|['правонарушение']
пристать|['традиция']
увековечивать|['развитие', 'деяние']
общаться|['ребёнок']
инвалить|['человек']
присягнуть|['ветер']
овеять|['край', 'легенда']
мотивационнообучать|['проект']
купать|['фестиваль', 'иван']
раздаваться|['победа']
возлюбить|['край', 'навеки']
отреставрировать|['способ', 'город']
захватывать|['звук', 'вид']
арестовать|['право']
чедихолить|['лесопатолог']
жизнидлить|['краска', 'ребёнок']
здравствовать|['зарница']
жать|['интеллект']
движениятанцовать|['возможность', 'коляска']
сочетаться|['муза', 'мюзикл']
знаешьжить|['профилактика']
устремить|['будущее', 'забайкалье']
убежать|['склероз']
поставить|['диагноз']
общеразвивать|['программа']
персонифицировать|['разработка', 'программа']
излечить|['пациент']
требоваться|['мама']
радостиберечь|['берег', 'отдых']
обрести|['крыло']
